lat,lon,rh_high,rh_low,temp_high_c,temp_low_c,solar_irradiance_w_per_m2,gel_temperature_c,best_salt,best_sl,best_lcow,infeasible,electric_heat_w_per_m2,gel_temperature_optimized_c,annual_electricity_cost_usd_per_m2,zsr_backend,blend
66.65810500682782,63.35358657181445,0.8884657534246575,0.6918082191780822,1.0027397260273974,-4.729863013698631,271.2219178082192,17.164711582662136,MgCl2,15.996050559441338,0.0023266643145469627,False,0.0001352859303479434,17.164720286874335,3.950349166159947e-05,ipopt,CaCl2=0.0002;MgCl2=0.9998
71.07092835028389,-104.58522935766173,0.8672054794520548,0.7424931506849315,-9.301095890410958,-14.628767123287671,238.64931506849314,5.481481854171106,MgCl2,15.99726587023244,0.002851418926028403,False,0.0001084561893254371,5.481489133037405,3.1669207283027634e-05,ipopt,CaCl2=0.0002;MgCl2=0.9998
53.29405420960427,71.60788268184602,0.8076986301369863,0.5039726027397261,9.845205479452055,0.4301369863013699,488.52876712328765,37.424884600724546,LiCl,15.999402774578648,0.013814376862790832,False,0.00011959035712953115,37.4248917214416,3.492038428182309e-05,ipopt,LiCl=1.0000
44.43591013897685,-112.63554668067258,0.8662739726027396,0.5095068493150685,6.345205479452055,-3.4890410958904123,658.572602739726,43.332617705800324,LiCl,15.999272313995728,0.008897757353764768,False,0.0001769800503831583,43.33262800139887,5.167817471188222e-05,ipopt,LiCl=1.0000
26.110473080823027,-80.59102893233496,0.9292328767123287,0.4894794520547945,30.395342465753423,20.62876712328767,745.3068493150685,68.42439115325128,LiCl,15.9983023196238,0.005249860417347226,False,0.00029285650953462616,68.42440653505594,8.551410078411084e-05,ipopt,LiCl=1.0000
61.9136953548131,76.21453229553794,0.8842191780821917,0.666109589041096,3.1331506849315067,-3.563561643835616,350.241095890411,23.67670982869911,LiCl,16.00000015853637,0.008495706896475778,False,0.00019581307564941447,23.676722119628838,5.717741808962904e-05,ipopt,LiCl=1.0000
48.69420472140199,-85.25339513076766,0.913068493150685,0.5458356164383562,8.32054794520548,-0.9515068493150683,511.827397260274,37.30265833460385,LiCl,15.998565943177658,0.006303798296970302,False,0.0002477146918687166,37.30267309122782,7.233269002566525e-05,ipopt,LiCl=1.0000
32.11816451897147,50.49950927992784,0.6743835616438356,0.2953150684931507,20.3213698630137,7.502191780821918,818.9260273972603,63.36732104805234,none,,1e+30,True,0.0,,0.0,,
70.04551321132357,-24.741463505949834,0.7758630136986301,0.5316712328767124,-9.638356164383561,-14.779726027397261,325.2986301369863,10.350260995755077,LiCl,15.998865315091065,0.01746865377032768,False,0.00010487912523909891,10.350267910201941,3.062470456981689e-05,ipopt,LiCl=1.0000
-18.17586572091284,132.99183264429163,0.5761095890410959,0.25736986301369863,33.38301369863014,20.83835616438356,885.013698630137,77.43566553679534,LiCl,15.99972238897736,0.03194949062374485,False,5.3077158121075404e-05,77.43566822104003,1.549853017135402e-05,ipopt,LiCl=1.0000
61.63207525680262,98.20798677812834,0.8688767123287672,0.5551780821917808,0.14630136986301426,-8.762739726027398,366.71232876712327,21.843769363230525,LiCl,15.999136237843372,0.009484015585193165,False,0.0001736153648936364,21.843780335911806,5.069568654894183e-05,ipopt,LiCl=1.0000
71.79632381471076,-78.94460144077354,0.8564657534246575,0.6778630136986301,-11.963013698630137,-17.09315068493151,257.06849315068496,4.0715117541203885,CaCl2,15.999517126655185,0.003401798699726536,False,8.753929507587331e-05,4.071517656063171,2.556147416215501e-05,ipopt,CaCl2=1.0000
16.66549582088568,-9.915042262116295,0.3795890410958904,0.15794520547945207,36.18657534246575,24.276164383561646,865.0328767123287,78.87868348995855,LiCl,16.000000159559402,0.06346265845792735,False,3.078642279268754e-05,78.8786850374217,8.989635455464763e-06,ipopt,LiCl=1.0000
19.382423692933315,31.523860523300815,0.3386027397260274,0.1327123287671233,35.316986301369866,22.336164383561645,914.8493150684932,80.39806020105856,LiCl,16.00000015975884,0.06891224985360175,False,2.8585332222876947e-05,80.39806162865153,8.346917009080069e-06,ipopt,LiCl=1.0000
54.71581591430244,159.93368633950297,0.8949863013698631,0.6433972602739726,2.3594520547945206,-5.086027397260273,430.0383561643836,27.440702832523844,LiCl,15.9988202472201,0.007523712731121001,False,0.0002116587322238782,27.440715930014466,6.180434980937243e-05,ipopt,LiCl=1.0000
28.939960456020103,100.66792597586516,0.8578630136986302,0.31852054794520546,13.912054794520547,0.21369863013698645,810.1397260273973,57.528507862699456,none,,1e+30,True,0.0,,0.0,,
-2.5388033818482683,39.55050909921101,0.9132876712328768,0.4112328767123287,33.29561643835616,22.932328767123284,851.9342465753425,75.85169478991334,LiCl,15.999343111493216,0.006100703720124185,False,0.0002521741045381264,75.85170762861345,7.363483852513292e-05,ipopt,LiCl=1.0000
68.37674336850316,110.41501569490875,0.8368219178082192,0.6364931506849315,-6.9701369863013705,-14.43945205479452,289.44657534246574,10.72305399792865,LiCl,15.99926572347422,0.012413669777270887,False,0.00014141816941021712,10.723063308819345,4.12941054677834e-05,ipopt,LiCl=1.0000
-47.83099775518059,-74.18051478022457,0.9903013698630138,0.7221369863013699,8.720273972602739,2.563013698630137,379.15342465753423,30.45813070043996,none,,1e+30,True,0.0,,0.0,,
71.85042764247929,-124.01397874142572,0.8862739726027397,0.7488493150684932,-7.100821917808219,-12.653150684931505,245.6767123287671,7.993275399532004,MgCl2,15.999457180214172,0.002345405071594648,False,0.00011690730715195691,7.993283172478675,3.4136933688371423e-05,ipopt,MgCl2=1.0000
31.292681623483432,-95.93359943000553,0.8759999999999999,0.4738082191780822,26.178356164383562,16.114246575342463,703.2493150684932,62.779625469242106,LiCl,15.999262010564541,0.008436793451407276,False,0.00018513838337660818,62.7796354237854,5.40604079459696e-05,ipopt,LiCl=1.0000
15.966952775169986,103.22886136295057,0.8538630136986302,0.5108493150684932,31.80164383561644,22.961095890410963,794.7178082191781,71.94455582726917,LiCl,16.000000158800532,0.009771513736177084,False,0.00016003264429597513,71.94456410988684,4.672953213442474e-05,ipopt,LiCl=1.0000
-21.466466706214092,121.95063141840792,0.4844383561643836,0.18328767123287673,34.672876712328765,21.124657534246577,893.6191780821918,78.90393665230206,LiCl,15.999792036572915,0.04261442043450591,False,4.154163179617391e-05,78.90393874014613,1.2130156484482784e-05,ipopt,LiCl=1.0000
59.868521307506,88.71446172770328,0.8744383561643835,0.5804931506849315,4.055068493150685,-4.334520547945205,377.75342465753425,26.07686896508976,LiCl,16.000000158924912,0.009096464122967362,False,0.00018183853223941568,26.076880275843347,5.309685141390938e-05,ipopt,LiCl=1.0000
51.477225799820644,105.084911676339,0.8656164383561644,0.5151780821917807,3.7347945205479447,-4.6347945205479455,481.041095890411,31.5072012684431,LiCl,15.999164997465698,0.009346662712004322,False,0.000171217956374769,31.507211699872265,4.999564326143255e-05,ipopt,LiCl=1.0000
