latitude,longitude,rh_mean,temp_mean,ghi_mean,rh_swing_max,temp_swing_mean
-85.0,-175.0,40.91164383561644,-31.517762557077624,127.25696347031963,62.0,3.5315068493150683
-85.0,-165.0,44.98675799086758,-35.002477168949774,114.73687214611873,65.0,6.879452054794521
-85.0,-155.0,58.70194063926941,-38.06585616438356,117.62214611872146,45.0,5.865479452054795
-85.0,-145.0,56.85034246575343,-36.44970319634704,117.75513698630137,46.0,5.363561643835617
-85.0,-135.0,54.30844748858448,-36.29102739726028,118.7533105022831,41.0,3.9591780821917806
-85.0,-125.0,54.14212328767123,-29.575353881278538,119.22831050228311,35.0,3.5257534246575344
-85.0,-115.0,65.2791095890411,-34.57302511415525,123.11221461187215,37.0,3.7254794520547945
-85.0,-105.0,68.94337899543379,-36.799726027397256,125.3142694063927,43.0,3.8271232876712324
-85.0,-95.0,71.874200913242,-36.26413242009133,128.05730593607305,50.0,4.425205479452054
-85.0,-85.0,64.43904109589042,-32.24703196347032,124.72123287671234,41.0,3.0939726027397265
-85.0,-75.0,64.31575342465753,-32.853162100456615,126.0318493150685,35.0,4.052328767123288
-85.0,-65.0,68.28481735159818,-31.387853881278538,127.6170091324201,67.0,4.1936986301369865
-85.0,-55.0,63.95753424657534,-32.50498858447488,127.8142694063927,26.0,3.2904109589041095
-85.0,-45.0,64.17762557077626,-33.20140410958905,128.42454337899542,26.0,3.504383561643836
-85.0,-35.0,65.47340182648402,-34.76819634703196,130.13675799086758,31.0,3.561095890410958
-85.0,-25.0,65.36529680365297,-37.46622146118721,130.5994292237443,29.0,3.6939726027397257
-85.0,-15.0,66.35125570776256,-39.26340182648402,131.1299086757991,31.0,3.6835616438356165
-85.0,-5.0,67.35034246575343,-42.09407534246575,132.16289954337898,40.0,3.7934246575342465
-85.0,5.0,67.54086757990868,-44.092968036529676,132.8247716894977,43.0,3.6720547945205477
-85.0,15.0,67.35810502283105,-44.6350799086758,133.2546803652968,41.0,3.6241095890410953
-85.0,25.0,65.19326484018265,-43.094052511415526,133.16826484018264,40.0,3.453698630136986
-85.0,35.0,64.93207762557077,-43.49054794520548,133.58276255707761,40.0,3.368767123287672
-85.0,45.0,67.34566210045662,-45.53178082191781,135.1038812785388,39.0,3.782739726027397
-85.0,55.0,68.5406392694064,-47.45051369863014,134.52351598173516,40.0,3.9646575342465753
-85.0,65.0,68.30456621004566,-47.80974885844749,134.55308219178082,40.0,3.77972602739726
-85.0,75.0,67.74760273972603,-47.43366438356164,134.8724885844749,47.0,3.6660273972602737
-85.0,85.0,66.60719178082192,-47.72447488584475,134.4236301369863,41.0,3.5953424657534248
-85.0,95.0,66.58299086757991,-47.4228196347032,134.17203196347032,43.0,3.5668493150684926
-85.0,105.0,66.17739726027398,-46.70595890410959,134.4541095890411,42.0,3.4284931506849317
-85.0,115.0,66.00502283105023,-46.086358447488585,135.12591324200912,41.0,3.4865753424657533
-85.0,125.0,65.83356164383562,-44.38010273972602,135.9664383561644,40.0,3.532602739726028
-85.0,135.0,65.02168949771689,-43.519417808219174,136.91518264840184,41.0,3.4805479452054797
-85.0,145.0,66.1013698630137,-41.6954794520548,137.487899543379,41.0,3.628767123287671
-85.0,155.0,65.67351598173516,-38.06317351598174,137.30479452054794,35.0,3.2868493150684928
-85.0,165.0,54.56404109589041,-38.9026598173516,133.93310502283106,42.0,3.871506849315069
-85.0,175.0,66.19680365296804,-32.70221461187215,136.52842465753426,78.0,7.757808219178081
-75.0,-175.0,78.74063926940639,-15.298264840182647,95.46004566210046,34.0,3.3254794520547946
-75.0,-165.0,79.60034246575343,-14.742557077625571,95.51986301369863,28.0,3.620821917808219
-75.0,-155.0,80.83561643835617,-13.4399200913242,92.74132420091324,26.0,3.9495890410958903
-75.0,-145.0,79.77899543378996,-15.46076484018265,99.21849315068494,35.0,3.457808219178082
-75.0,-135.0,62.88253424657534,-27.607933789954338,118.73253424657534,67.0,5.478630136986301
-75.0,-125.0,63.036986301369865,-24.627488584474886,119.97751141552511,49.0,4.187397260273973
-75.0,-115.0,68.09783105022831,-21.34800228310502,116.26187214611872,62.0,4.664383561643835
-75.0,-105.0,68.42853881278539,-18.773869863013697,119.58778538812786,47.0,4.586849315068493
-75.0,-95.0,74.08230593607306,-19.929497716894975,121.56746575342466,43.0,6.138356164383562
-75.0,-85.0,77.30285388127854,-24.549189497716895,110.37751141552512,48.0,4.580547945205479
-75.0,-75.0,76.35844748858447,-21.005696347031964,116.21678082191781,78.0,6.555616438356165
-75.0,-65.0,68.36563926940639,-12.643664383561644,125.07191780821918,64.0,5.7224657534246575
-75.0,-55.0,81.74178082191781,-15.561940639269407,101.03025114155251,29.0,4.163835616438357
-75.0,-45.0,82.43424657534247,-13.83337899543379,97.58401826484018,27.0,3.8706849315068492
-75.0,-35.0,82.33230593607306,-12.90027397260274,97.22648401826484,27.0,3.4726027397260273
-75.0,-25.0,78.29566210045662,-17.15579908675799,106.26655251141553,43.0,4.766849315068493
-75.0,-15.0,64.42716894977168,-20.710022831050228,132.10342465753425,58.0,5.127397260273972
-75.0,-5.0,70.24760273972603,-32.53059360730594,144.4373287671233,70.0,6.472602739726027
-75.0,5.0,68.32979452054795,-39.267922374429226,145.71107305936073,57.0,5.967945205479452
-75.0,15.0,68.59554794520548,-43.88518264840183,148.4035388127854,40.0,6.2443835616438355
-75.0,25.0,67.4486301369863,-44.584885844748854,147.94006849315068,37.0,5.364383561643836
-75.0,35.0,64.00844748858448,-45.56084474885845,147.85856164383563,35.0,5.26082191780822
-75.0,45.0,67.4791095890411,-47.17744292237443,150.61746575342465,37.0,5.441095890410959
-75.0,55.0,60.422488584474884,-42.011563926940646,148.36164383561643,26.0,4.144383561643837
-75.0,65.0,58.06255707762557,-35.00342465753425,142.26335616438357,36.0,3.958356164383562
-75.0,75.0,57.58835616438356,-34.56433789954338,143.3167808219178,23.0,4.2912328767123284
-75.0,85.0,66.63173515981735,-43.79601598173516,146.02123287671233,42.0,5.1030136986301375
-75.0,95.0,69.11324200913242,-49.09771689497717,148.46438356164384,42.0,5.381095890410959
-75.0,105.0,68.90205479452055,-49.697648401826484,149.02568493150685,46.0,5.206301369863014
-75.0,115.0,71.90159817351598,-50.429851598173514,149.84600456621004,46.0,5.466027397260274
-75.0,125.0,69.71655251141553,-49.16156392694064,150.7230593607306,53.0,5.165479452054796
-75.0,135.0,67.18196347031963,-46.68648401826484,150.52956621004566,40.0,4.567123287671233
-75.0,145.0,66.40216894977169,-44.623356164383566,149.22431506849315,37.0,4.487397260273973
-75.0,155.0,60.67271689497717,-38.062888127853874,146.60319634703197,31.0,4.627671232876713
-75.0,165.0,67.27385844748858,-14.716860730593607,120.39634703196347,53.0,3.107671232876713
-75.0,175.0,76.36312785388128,-15.33178082191781,97.05570776255708,38.0,2.9164383561643836
-65.0,-175.0,84.36278538812785,-1.0443036529680363,72.05582191780822,39.0,3.009315068493151
-65.0,-165.0,85.6541095890411,-1.7671004566210045,75.98447488584475,36.0,2.910958904109589
-65.0,-155.0,85.90627853881278,-2.2990867579908674,73.33321917808219,36.0,2.9632876712328766
-65.0,-145.0,85.31415525114156,-2.782659817351598,73.47614155251142,36.0,3.24958904109589
-65.0,-135.0,85.3167808219178,-3.261267123287671,78.90068493150685,38.0,3.5115068493150687
-65.0,-125.0,84.13881278538813,-3.1532420091324203,78.16152968036529,33.0,3.2463013698630134
-65.0,-115.0,83.1480593607306,-2.8989383561643836,76.70125570776256,35.0,3.046849315068493
-65.0,-105.0,83.05696347031963,-2.6203767123287673,80.90730593607306,36.0,2.850684931506849
-65.0,-95.0,83.63162100456621,-2.3042123287671235,80.80057077625571,35.0,2.5473972602739723
-65.0,-85.0,84.03538812785388,-1.7713812785388128,74.97785388127853,39.0,2.4616438356164383
-65.0,-75.0,85.12077625570777,-2.0912785388127855,82.43230593607306,39.0,2.4794520547945207
-65.0,-65.0,80.81095890410958,-2.588093607305936,78.93219178082192,36.0,2.030684931506849
-65.0,-55.0,85.32477168949772,-7.0001712328767125,118.375,38.0,4.057260273972603
-65.0,-45.0,86.85365296803653,-6.6536986301369865,96.16107305936073,33.0,3.925479452054795
-65.0,-35.0,85.82077625570776,-6.190913242009134,91.3115296803653,30.0,3.3843835616438347
-65.0,-25.0,84.94920091324201,-5.866369863013699,92.6019406392694,28.0,3.16027397260274
-65.0,-15.0,84.81826484018265,-5.655011415525114,95.71073059360731,30.0,3.016164383561644
-65.0,-5.0,84.37739726027397,-5.505639269406392,97.51552511415525,30.0,3.015068493150685
-65.0,5.0,83.10182648401826,-5.0904337899543375,92.83538812785388,34.0,2.8323287671232875
-65.0,15.0,83.06210045662101,-5.821381278538812,95.59029680365296,36.0,2.908219178082192
-65.0,25.0,83.60582191780821,-5.790308219178082,99.74440639269406,32.0,2.962191780821918
-65.0,35.0,82.95833333333333,-5.0552168949771685,99.0755707762557,34.0,2.741917808219178
-65.0,45.0,82.03812785388128,-4.802648401826485,93.64691780821917,37.0,2.515068493150685
-65.0,55.0,81.75433789954337,-10.33431506849315,102.62374429223745,44.0,3.196164383561644
-65.0,65.0,81.84691780821917,-8.984737442922373,103.99383561643836,39.0,3.2030136986301367
-65.0,75.0,82.61164383561643,-8.479874429223745,97.91027397260274,38.0,3.336164383561644
-65.0,85.0,83.82488584474886,-8.644360730593608,103.38687214611872,42.0,3.2638356164383566
-65.0,95.0,82.24132420091324,-8.925422374429223,104.88664383561644,40.0,3.6745205479452054
-65.0,105.0,79.98059360730593,-9.240605022831051,115.20022831050228,50.0,3.4306849315068493
-65.0,115.0,83.33618721461187,-8.360490867579909,105.56632420091324,37.0,3.3635616438356166
-65.0,125.0,82.68835616438356,-7.426917808219178,97.9958904109589,37.0,2.9813698630136987
-65.0,135.0,81.6892694063927,-8.351609589041097,100.45285388127854,34.0,3.3350684931506853
-65.0,145.0,83.32819634703196,-7.325993150684931,95.1236301369863,38.0,3.4534246575342467
-65.0,155.0,85.15091324200914,-4.661780821917808,92.73732876712329,36.0,3.915616438356164
-65.0,165.0,85.09098173515982,-3.06892694063927,85.1236301369863,34.0,3.257260273972603
-65.0,175.0,85.64760273972603,-2.100205479452055,82.60764840182648,39.0,3.1827397260273975
-55.0,-175.0,81.31358447488584,7.382146118721462,106.4920091324201,42.0,1.987671232876712
-55.0,-165.0,84.8708904109589,5.987568493150685,104.96107305936073,38.0,1.7761643835616436
-55.0,-155.0,84.54109589041096,5.57574200913242,100.36107305936073,41.0,2.0391780821917806
-55.0,-145.0,84.78390410958905,4.4166552511415516,92.95308219178082,38.0,2.481095890410959
-55.0,-135.0,84.29235159817351,3.75560502283105,93.48744292237443,37.0,2.1745205479452054
-55.0,-125.0,81.22888127853881,4.680764840182649,91.24349315068493,45.0,2.3742465753424655
-55.0,-115.0,81.13744292237443,4.511278538812785,93.11164383561643,38.0,1.9624657534246575
-55.0,-105.0,80.09029680365296,4.589280821917808,98.13835616438357,50.0,1.9786301369863015
-55.0,-95.0,79.71415525114155,4.627054794520548,101.42271689497717,44.0,1.8868493150684933
-55.0,-85.0,80.39623287671233,4.7969406392694065,102.46826484018266,36.0,1.8276712328767126
-55.0,-75.0,80.14315068493151,5.322100456621005,101.87340182648401,36.0,1.8
-55.0,-65.0,77.05856164383562,6.123550228310503,122.06118721461188,39.0,2.643287671232877
-55.0,-55.0,81.80296803652968,4.489098173515981,119.2175799086758,43.0,2.1284931506849314
-55.0,-45.0,85.0939497716895,2.5122374429223746,103.35890410958905,43.0,2.0424657534246577
-55.0,-35.0,85.19041095890411,1.5504908675799087,99.22876712328767,49.0,2.0490410958904106
-55.0,-25.0,84.89828767123288,1.3682191780821917,86.94189497716896,36.0,2.01013698630137
-55.0,-15.0,84.02659817351598,1.3501826484018264,89.5079908675799,36.0,1.7830136986301368
-55.0,-5.0,85.64486301369863,0.4512899543378996,94.28961187214612,50.0,1.6134246575342466
-55.0,5.0,85.6796803652968,-0.05873287671232871,91.95821917808219,37.0,1.5454794520547945
-55.0,15.0,85.02819634703197,-0.215296803652968,95.16198630136986,48.0,1.6734246575342469
-55.0,25.0,83.79109589041096,0.16182648401826494,94.66038812785388,41.0,1.6898630136986301
-55.0,35.0,81.50422374429223,0.9968150684931507,96.8634703196347,40.0,1.7383561643835617
-55.0,45.0,83.93036529680366,0.6171118721461187,100.9181506849315,39.0,1.6336986301369862
-55.0,55.0,82.24292237442923,1.2198287671232875,100.4425799086758,41.0,1.7794520547945205
-55.0,65.0,81.61175799086757,1.5559018264840183,99.46415525114155,35.0,1.8282191780821917
-55.0,75.0,82.4964611872146,1.448527397260274,100.86552511415525,38.0,1.9238356164383559
-55.0,85.0,81.80045662100457,1.5176598173515983,89.01472602739726,42.0,2.0517808219178084
-55.0,95.0,80.92865296803653,2.041974885844749,97.40216894977169,38.0,2.2145205479452055
-55.0,105.0,83.40479452054795,1.2624885844748859,104.24874429223745,35.0,1.9879452054794522
-55.0,115.0,81.23744292237443,2.121095890410959,96.68458904109589,38.0,1.9671232876712328
-55.0,125.0,81.15753424657534,2.8344863013698633,99.53652968036529,39.0,2.1112328767123287
-55.0,135.0,82.44680365296804,3.3210616438356166,106.00696347031963,42.0,1.9454794520547947
-55.0,145.0,85.88002283105023,2.913504566210046,111.26963470319635,35.0,1.7961643835616437
-55.0,155.0,81.4791095890411,5.049977168949772,99.58698630136986,41.0,2.3495890410958906
-55.0,165.0,79.67557077625571,6.5661073059360735,100.31552511415525,37.0,2.683835616438356
-55.0,175.0,81.9777397260274,6.748767123287671,108.49520547945205,40.0,1.9753424657534244
-45.0,-175.0,77.47751141552511,13.265331050228308,146.6656392694064,34.0,1.6057534246575342
-45.0,-165.0,78.99383561643836,12.565182648401827,143.78276255707763,39.0,1.365753424657534
-45.0,-155.0,80.38721461187215,11.489577625570778,138.1269406392694,36.0,1.2797260273972602
-45.0,-145.0,81.27123287671233,10.863801369863014,134.612899543379,36.0,1.316986301369863
-45.0,-135.0,81.73436073059361,10.23052511415525,133.10159817351598,35.0,1.3654794520547946
-45.0,-125.0,81.78630136986301,9.803493150684933,128.93904109589042,37.0,1.5356164383561643
-45.0,-115.0,81.50787671232877,9.599018264840183,124.12728310502283,37.0,1.6060273972602739
-45.0,-105.0,80.75388127853881,9.415,126.83595890410959,40.0,1.6095890410958904
-45.0,-95.0,80.33744292237444,9.13917808219178,130.98801369863014,37.0,1.58027397260274
-45.0,-85.0,79.95216894977169,9.280171232876713,130.52876712328768,42.0,1.6430136986301371
-45.0,-75.0,77.08481735159818,8.879897260273973,132.5601598173516,40.0,1.8019178082191782
-45.0,-65.0,70.59075342465754,12.0136301369863,194.53287671232877,45.0,3.010684931506849
-45.0,-55.0,78.38196347031963,11.112922374429223,173.50810502283105,39.0,2.069589041095891
-45.0,-45.0,78.05,11.29013698630137,157.26803652968036,39.0,2.082191780821918
-45.0,-35.0,80.28744292237442,9.805993150684932,148.65182648401827,38.0,2.0931506849315067
-45.0,-25.0,80.51244292237443,9.055559360730593,137.50262557077625,40.0,2.4758904109589044
-45.0,-15.0,81.53904109589041,8.230707762557078,131.75079908675798,37.0,2.218630136986301
-45.0,-5.0,80.65433789954338,8.014885844748857,122.93778538812785,34.0,2.659452054794521
-45.0,5.0,80.4148401826484,7.884543378995435,123.06198630136986,41.0,2.3846575342465752
-45.0,15.0,80.39874429223744,7.763995433789955,129.01780821917808,37.0,2.3205479452054796
-45.0,25.0,80.40947488584474,8.074075342465752,132.9925799086758,37.0,2.813972602739726
-45.0,35.0,81.28926940639269,8.290627853881277,134.20182648401826,39.0,2.512876712328767
-45.0,45.0,82.48356164383561,7.62046803652968,135.1118721461187,36.0,2.3591780821917805
-45.0,55.0,82.16917808219178,7.6862671232876725,129.73641552511415,36.0,2.5498630136986304
-45.0,65.0,79.21541095890412,9.373390410958905,131.9859589041096,38.0,2.864657534246575
-45.0,75.0,78.15502283105023,10.24191780821918,118.32671232876713,41.0,3.152876712328766
-45.0,85.0,79.31210045662101,9.508801369863015,127.85958904109589,46.0,2.626849315068493
-45.0,95.0,79.91700913242009,9.144269406392695,130.6546803652968,41.0,2.20986301369863
-45.0,105.0,78.57191780821918,9.433219178082192,125.4181506849315,43.0,2.3827397260273973
-45.0,115.0,78.42203196347032,9.485787671232877,127.76860730593607,42.0,2.1904109589041094
-45.0,125.0,78.9876712328767,9.91873287671233,131.74760273972603,46.0,1.9624657534246575
-45.0,135.0,78.8818493150685,10.371484018264841,135.42648401826483,43.0,1.8021917808219179
-45.0,145.0,76.48561643835616,11.87783105022831,143.98550228310503,41.0,1.9145205479452054
-45.0,155.0,77.99543378995433,12.359748858447487,148.79406392694065,34.0,1.8772602739726028
-45.0,165.0,78.18630136986302,12.965022831050229,151.64337899543378,41.0,1.7189041095890414
-45.0,175.0,80.43812785388128,11.980422374429224,171.6025114155251,37.0,1.6564383561643834
-35.0,-175.0,76.97305936073059,17.394292237442922,196.12682648401827,31.0,1.3394520547945206
-35.0,-165.0,76.97408675799086,16.851872146118723,192.09486301369864,36.0,1.2805479452054798
-35.0,-155.0,76.48127853881279,16.64865296803653,186.74543378995435,37.0,1.3304109589041095
-35.0,-145.0,77.12705479452055,16.47068493150685,181.56997716894978,36.0,1.3098630136986298
-35.0,-135.0,77.58847031963471,16.781769406392694,171.98995433789955,35.0,1.4432876712328766
-35.0,-125.0,78.64303652968036,17.10090182648402,165.7062785388128,33.0,1.5005479452054793
-35.0,-115.0,76.8689497716895,16.94324200913242,179.9994292237443,38.0,1.4693150684931506
-35.0,-105.0,75.80239726027398,16.358732876712327,181.30102739726027,40.0,1.5838356164383565
-35.0,-95.0,75.31027397260274,16.226689497716894,177.33458904109588,39.0,1.6227397260273972
-35.0,-85.0,74.75456621004567,15.89923515981735,175.16735159817352,32.0,1.4967123287671236
-35.0,-75.0,80.04166666666667,14.30884703196347,212.2646118721461,33.0,1.2087671232876713
-35.0,-65.0,60.87602739726027,17.383995433789952,205.9146118721461,78.0,11.144657534246575
-35.0,-55.0,76.07602739726028,17.26486301369863,200.2972602739726,65.0,6.643561643835617
-35.0,-45.0,75.12739726027397,18.253310502283107,187.30239726027398,42.0,1.787397260273973
-35.0,-35.0,75.97328767123288,17.59035388127854,177.76666666666668,39.0,1.787397260273973
-35.0,-25.0,76.67785388127854,17.404931506849316,176.74406392694064,41.0,1.7824657534246573
-35.0,-15.0,76.74748858447488,17.198687214611873,180.83949771689498,39.0,1.8115068493150686
-35.0,-5.0,75.74623287671233,16.507123287671234,182.99440639269406,36.0,1.7780821917808218
-35.0,5.0,72.9884703196347,16.28829908675799,183.85616438356163,34.0,1.8186301369863012
-35.0,15.0,73.26369863013699,17.107237442922372,204.96175799086757,36.0,1.4879452054794522
-35.0,25.0,73.40993150684932,19.751940639269407,198.32648401826484,36.0,2.303287671232877
-35.0,35.0,75.37317351598173,19.30994292237443,190.4955479452055,39.0,1.9336986301369863
-35.0,45.0,76.36689497716895,18.27398401826484,188.2941780821918,46.0,1.7767123287671234
-35.0,55.0,77.57933789954338,17.366244292237443,191.12294520547945,38.0,1.6139726027397259
