latitude,longitude,rh_mean,temp_mean,ghi_mean,rh_swing_max,temp_swing_mean
-80.0,-170.0,,,,,
-80.0,-150.0,,,,,
-80.0,-130.0,,,,,
-80.0,-110.0,,,,,
-80.0,-90.0,,,,,
-80.0,-70.0,,,,,
-80.0,-50.0,,,,,
-80.0,-30.0,,,,,
-80.0,-10.0,,,,,
-80.0,10.0,,,,,
-80.0,30.0,,,,,
-80.0,50.0,,,,,
-80.0,70.0,,,,,
-80.0,90.0,,,,,
-80.0,110.0,,,,,
-80.0,130.0,,,,,
-80.0,150.0,,,,,
-80.0,170.0,,,,,
-60.0,-170.0,,,,,
-60.0,-150.0,,,,,
-60.0,-130.0,,,,,
-60.0,-110.0,,,,,
-60.0,-90.0,,,,,
-60.0,-70.0,,,,,
-60.0,-50.0,,,,,
-60.0,-30.0,,,,,
-60.0,-10.0,,,,,
-60.0,10.0,,,,,
-60.0,30.0,,,,,
-60.0,50.0,,,,,
-60.0,70.0,,,,,
-60.0,90.0,,,,,
-60.0,110.0,,,,,
-60.0,130.0,,,,,
-60.0,150.0,,,,,
-60.0,170.0,,,,,
-40.0,-170.0,,,,,
-40.0,-150.0,,,,,
-40.0,-130.0,,,,,
-40.0,-110.0,,,,,
-40.0,-90.0,,,,,
-40.0,-70.0,,,,,
-40.0,-50.0,,,,,
-40.0,-30.0,,,,,
-40.0,-10.0,,,,,
-40.0,10.0,,,,,
-40.0,30.0,,,,,
-40.0,50.0,,,,,
-40.0,70.0,,,,,
-40.0,90.0,,,,,
-40.0,110.0,,,,,
-40.0,130.0,,,,,
-40.0,150.0,,,,,
-40.0,170.0,,,,,
-20.0,-170.0,,,,,
-20.0,-150.0,,,,,
-20.0,-130.0,,,,,
-20.0,-110.0,,,,,
-20.0,-90.0,,,,,
-20.0,-70.0,,,,,
-20.0,-50.0,,,,,
-20.0,-30.0,,,,,
-20.0,-10.0,,,,,
-20.0,10.0,,,,,
-20.0,30.0,,,,,
-20.0,50.0,,,,,
-20.0,70.0,,,,,
-20.0,90.0,,,,,
-20.0,110.0,,,,,
-20.0,130.0,,,,,
-20.0,150.0,,,,,
-20.0,170.0,,,,,
0.0,-170.0,,,,,
0.0,-150.0,,,,,
0.0,-130.0,,,,,
0.0,-110.0,,,,,
0.0,-90.0,,,,,
0.0,-70.0,,,,,
0.0,-50.0,,,,,
0.0,-30.0,,,,,
0.0,-10.0,,,,,
0.0,10.0,,,,,
0.0,30.0,,,,,
0.0,50.0,,,,,
0.0,70.0,,,,,
0.0,90.0,,,,,
0.0,110.0,,,,,
0.0,130.0,,,,,
0.0,150.0,,,,,
0.0,170.0,,,,,
20.0,-170.0,,,,,
20.0,-150.0,,,,,
20.0,-130.0,,,,,
20.0,-110.0,,,,,
20.0,-90.0,,,,,
20.0,-70.0,,,,,
20.0,-50.0,,,,,
20.0,-30.0,,,,,
20.0,-10.0,,,,,
20.0,10.0,,,,,
20.0,30.0,,,,,
20.0,50.0,,,,,
20.0,70.0,,,,,
20.0,90.0,,,,,
20.0,110.0,,,,,
20.0,130.0,,,,,
20.0,150.0,,,,,
20.0,170.0,,,,,
40.0,-170.0,,,,,
40.0,-150.0,,,,,
40.0,-130.0,,,,,
40.0,-110.0,,,,,
40.0,-90.0,,,,,
40.0,-70.0,,,,,
40.0,-50.0,,,,,
40.0,-30.0,,,,,
40.0,-10.0,,,,,
40.0,10.0,,,,,
40.0,30.0,,,,,
40.0,50.0,,,,,
40.0,70.0,,,,,
40.0,90.0,,,,,
40.0,110.0,,,,,
40.0,130.0,,,,,
40.0,150.0,,,,,
40.0,170.0,,,,,
60.0,-170.0,,,,,
60.0,-150.0,,,,,
60.0,-130.0,,,,,
60.0,-110.0,,,,,
60.0,-90.0,,,,,
60.0,-70.0,,,,,
60.0,-50.0,,,,,
60.0,-30.0,,,,,
60.0,-10.0,,,,,
60.0,10.0,,,,,
60.0,30.0,,,,,
60.0,50.0,,,,,
60.0,70.0,,,,,
60.0,90.0,,,,,
60.0,110.0,,,,,
60.0,130.0,,,,,
60.0,150.0,,,,,
60.0,170.0,,,,,
80.0,-170.0,,,,,
80.0,-150.0,,,,,
80.0,-130.0,,,,,
80.0,-110.0,,,,,
80.0,-90.0,,,,,
80.0,-70.0,,,,,
80.0,-50.0,,,,,
80.0,-30.0,,,,,
80.0,-10.0,,,,,
80.0,10.0,,,,,
80.0,30.0,,,,,
80.0,50.0,,,,,
80.0,70.0,,,,,
80.0,90.0,,,,,
80.0,110.0,,,,,
80.0,130.0,,,,,
80.0,150.0,,,,,
80.0,170.0,,,,,
